if_a,then_b,confidence
{'Medialuna'},"{'Coffee', 'Pastry'}",0.10720562390158173
{'Pastry'},"{'Medialuna', 'Coffee'}",0.07682619647355164
{'Coffee'},"{'Medialuna', 'Pastry'}",0.014838238871320847
"{'Medialuna', 'Pastry'}",{'Coffee'},0.61
"{'Medialuna', 'Coffee'}",{'Pastry'},0.17086834733893558
"{'Coffee', 'Pastry'}",{'Medialuna'},0.12655601659751037
{'Medialuna'},"{'Pastry', 'Bread'}",0.070298769771529
{'Pastry'},"{'Medialuna', 'Bread'}",0.05037783375314862
{'Bread'},"{'Medialuna', 'Pastry'}",0.013884068031933356
"{'Medialuna', 'Pastry'}",{'Bread'},0.4
"{'Medialuna', 'Bread'}",{'Pastry'},0.18691588785046728
"{'Pastry', 'Bread'}",{'Medialuna'},0.12578616352201258
{'Medialuna'},"{'Coffee', 'Tea'}",0.10369068541300527
{'Coffee'},"{'Medialuna', 'Tea'}",0.014351739236195572
{'Tea'},"{'Medialuna', 'Coffee'}",0.045141545524101
"{'Medialuna', 'Coffee'}",{'Tea'},0.16526610644257703
"{'Medialuna', 'Tea'}",{'Coffee'},0.6082474226804123
"{'Coffee', 'Tea'}",{'Medialuna'},0.09882747068676717
{'Medialuna'},"{'Coffee', 'Bread'}",0.21441124780316345
{'Coffee'},"{'Medialuna', 'Bread'}",0.029676477742641694
{'Bread'},"{'Medialuna', 'Coffee'}",0.04234640749739674
"{'Medialuna', 'Coffee'}",{'Bread'},0.34173669467787116
"{'Medialuna', 'Bread'}",{'Coffee'},0.5700934579439252
"{'Coffee', 'Bread'}",{'Medialuna'},0.11285846438482887
{'Soup'},"{'Coffee', 'Bread'}",0.14516129032258066
{'Coffee'},"{'Soup', 'Bread'}",0.010946241790318657
{'Bread'},"{'Soup', 'Coffee'}",0.015619576535925026
"{'Soup', 'Coffee'}",{'Bread'},0.26627218934911245
"{'Soup', 'Bread'}",{'Coffee'},0.5625
"{'Coffee', 'Bread'}",{'Soup'},0.041628122109158186
{'Soup'},"{'Coffee', 'Sandwich'}",0.16451612903225807
{'Coffee'},"{'Soup', 'Sandwich'}",0.012405740695694478
{'Sandwich'},"{'Soup', 'Coffee'}",0.07822085889570553
"{'Soup', 'Coffee'}",{'Sandwich'},0.30177514792899407
"{'Soup', 'Sandwich'}",{'Coffee'},0.7183098591549296
"{'Coffee', 'Sandwich'}",{'Soup'},0.1297709923664122
{'Coffee'},"{'Alfajores', 'Tea'}",0.011919241060569205
{'Alfajores'},"{'Coffee', 'Tea'}",0.14454277286135694
{'Tea'},"{'Coffee', 'Alfajores'}",0.03749043611323642
"{'Coffee', 'Alfajores'}",{'Tea'},0.2413793103448276
"{'Coffee', 'Tea'}",{'Alfajores'},0.08207705192629816
"{'Alfajores', 'Tea'}",{'Coffee'},0.6363636363636364
{'Coffee'},"{'Alfajores', 'Bread'}",0.01532473850644612
{'Bread'},"{'Coffee', 'Alfajores'}",0.021867407150295035
{'Alfajores'},"{'Coffee', 'Bread'}",0.18584070796460178
"{'Coffee', 'Bread'}",{'Alfajores'},0.058279370952821465
"{'Coffee', 'Alfajores'}",{'Bread'},0.3103448275862069
"{'Alfajores', 'Bread'}",{'Coffee'},0.5338983050847458
{'Coffee'},"{'Medialuna', 'Pastry'}",0.014838238871320847
{'Pastry'},"{'Coffee', 'Medialuna'}",0.07682619647355164
{'Medialuna'},"{'Coffee', 'Pastry'}",0.10720562390158173
"{'Coffee', 'Pastry'}",{'Medialuna'},0.12655601659751037
"{'Coffee', 'Medialuna'}",{'Pastry'},0.17086834733893558
"{'Medialuna', 'Pastry'}",{'Coffee'},0.61
{'Coffee'},"{'Pastry', 'Tea'}",0.016540987594259305
{'Pastry'},"{'Coffee', 'Tea'}",0.08564231738035265
{'Tea'},"{'Coffee', 'Pastry'}",0.05202754399387911
"{'Coffee', 'Pastry'}",{'Tea'},0.14107883817427386
"{'Coffee', 'Tea'}",{'Pastry'},0.11390284757118928
"{'Pastry', 'Tea'}",{'Coffee'},0.6017699115044248
{'Coffee'},"{'Pastry', 'Bread'}",0.04013621989783508
{'Pastry'},"{'Coffee', 'Bread'}",0.20780856423173805
{'Bread'},"{'Coffee', 'Pastry'}",0.0572717806317251
"{'Coffee', 'Pastry'}",{'Bread'},0.34232365145228216
"{'Coffee', 'Bread'}",{'Pastry'},0.15263644773358
"{'Pastry', 'Bread'}",{'Coffee'},0.5188679245283019
{'Coffee'},"{'Pastry', 'Hot chocolate'}",0.011432741425443932
{'Pastry'},"{'Coffee', 'Hot chocolate'}",0.05919395465994962
