Transaction,Item,date_time,period_day,weekday_weekend
1a75b7ac-76af-4b6e-81e7-f44ee290a5f3,{'Bread'},1477817880,morning,weekend
e329e45f-f9ce-4558-9b5c-4d0be40bb4ac,{'Scandinavian'},1477818300,morning,weekend
77dd73ab-28ae-4d47-8884-3f35b44b7bd7,"{'Jam', 'Hot chocolate', 'Cookies', 'Muffin'}",1477818480,morning,weekend
8928d02c-9c32-4a69-a508-f5b2dfa78553,"{'Bread', 'Pastry', 'Coffee'}",1477818780,morning,weekend
88988450-a986-4f48-a477-a5f337d2f88e,"{'Pastry', 'Medialuna', 'Muffin'}",1477818960,morning,weekend
67c0b437-3f24-4606-8a7f-05956a769d45,"{'Pastry', 'Medialuna', 'Tea', 'Muffin', 'Bread', 'Coffee'}",1477819260,morning,weekend
97131654-dc3d-47f6-be95-8bc0bdb94b2b,"{'Medialuna', 'Scandinavian'}",1477819500,morning,weekend
5f7289b0-3184-4bf0-97ad-a712f6752cd0,"{'Bread', 'Medialuna'}",1477819620,morning,weekend
ea5636d9-e504-4802-af05-faaa64daf20b,"{'Jam', 'Pastry', 'Medialuna', 'Tartine', 'Coffee', 'Basket', 'Tea', 'Bread'}",1477819920,morning,weekend
81aeac0c-2856-49d7-83c0-6860ada8ecfb,"{'Scandinavian', 'Mineral water'}",1477820040,morning,weekend
1b98e0d3-8371-4e56-99df-22148923b718,"{'Bread', 'Hot chocolate', 'Coffee', 'Medialuna'}",1477820280,morning,weekend
2d4039d3-5f70-4ba1-bf57-74e3864956cd,{'Farm House'},1477820460,morning,weekend
851e2cd4-73e8-4b53-894c-a9bab4c78d88,"{'Farm House', 'Bread'}",1477820580,morning,weekend
cc3c5351-8c56-4362-af27-9c0829344431,"{'Bread', 'Medialuna'}",1477820700,morning,weekend
f8100c01-e565-442c-b412-cb04203aeb84,"{'Bread', 'Coffee', 'Medialuna'}",1477820940,morning,weekend
f6cc0ea1-4b4a-44f9-8de1-be7deb21a80e,"{'Jam', 'Fudge', 'Scandinavian', 'Muffin', 'Bread'}",1477821360,morning,weekend
377f7c7e-c6e3-4882-9840-0a9a76d343d0,"{'Bread', 'Coffee', 'Scandinavian'}",1477821780,morning,weekend
878933dd-639e-46d0-9a2e-fbad80f6d6f0,"{'Bread', 'Jam'}",1477821900,morning,weekend
73c42c38-d4ed-4600-af3f-e52800247743,{'Bread'},1477822020,morning,weekend
e6f2ab74-db04-4f2f-bd98-3581090d5eef,{'Basket'},1477822320,morning,weekend
2519f099-092e-4dc3-addd-f084a3cea4aa,"{'Scandinavian', 'Muffin'}",1477822560,morning,weekend
cf637c14-dcb1-427f-942b-e1cbd3cc294f,{'Coffee'},1477822920,morning,weekend
ea330c6d-d995-4f9b-bd92-53ff87830501,"{'Coffee', 'Muffin'}",1477823100,morning,weekend
d587038b-1cb8-418e-a8d5-14925872b161,"{'Scandinavian', 'Muffin'}",1477823220,morning,weekend
15577673-827d-4a77-8bfe-7e651b94f52e,"{'Bread', 'Tea'}",1477823580,morning,weekend
9b33601b-5d06-42cc-a485-a3e0d5ff0677,"{'Bread', 'Coffee'}",1477823820,morning,weekend
066e220b-b6c8-435c-9405-385975bd18b1,"{'Bread', 'Tea'}",1477824120,morning,weekend
028c9a32-7de8-47fd-9d87-a9d131b16452,{'Scandinavian'},1477824240,morning,weekend
bbab0211-dcce-4fc4-9773-ee42b001c4fa,"{'Tartine', 'Coffee', 'Juice', 'Muffin'}",1477824900,morning,weekend
d47be3b8-7718-4f4d-9bfd-2e1e4d126a1f,"{'Bread', 'Tea', 'Scandinavian'}",1477825020,morning,weekend
b01f1e12-1e6b-4ab6-a4e3-1ebacf531037,"{'Scandinavian', 'Fudge'}",1477825200,afternoon,weekend
fd4379d2-1c86-478d-8e99-34942650b666,"{'Coffee', 'Medialuna'}",1477825500,afternoon,weekend
84da1cdb-ab7b-4146-a0e3-5c95db4f20ef,"{'Hot chocolate', 'Coffee', 'Medialuna'}",1477825740,afternoon,weekend
3a94e793-ae77-4768-9fa0-9052b20b8f25,"{'Jam', 'Muffin', 'Bread', ""Ella's Kitchen Pouches"", 'Juice'}",1477826100,afternoon,weekend
af284759-aaae-4c8e-bb16-94ea4009011a,{'Coffee'},1477826220,afternoon,weekend
c65438cb-82aa-4528-b7b2-1dbacf0bd897,"{'Coffee', 'Medialuna'}",1477826580,afternoon,weekend
869a53d9-18ba-48c5-a66d-08e34a86ec32,"{'Bread', 'Victorian Sponge'}",1477826760,afternoon,weekend
e7a8b6c1-150f-449c-bec7-e70ede04b017,{'Scandinavian'},1477826880,afternoon,weekend
98684370-2734-4b3d-8aa5-c816383b8bce,{'Bread'},1477827180,afternoon,weekend
e8d126ec-2a0b-48ff-93e8-3b7b5ea254a9,"{'Hearty & Seasonal', 'Frittata', 'Tea', 'Coffee'}",1477827540,afternoon,weekend
c4f2b639-48e4-4bdd-8758-960ce8e3a89f,{'Scandinavian'},1477827900,afternoon,weekend
5bb39998-e3a8-4d92-9018-a1bf73c63325,"{'Victorian Sponge', 'Hot chocolate', 'Tea', 'Soup'}",1477828740,afternoon,weekend
66f37dcc-ce3b-4a60-b165-989e37a4ed7d,{'Tea'},1477828920,afternoon,weekend
aee22de4-15f7-4220-9cbb-dd5d3060554b,"{'Cookies', 'Juice', 'Coffee'}",1477829700,afternoon,weekend
8ea9d678-a6b6-4262-9c1f-7a6fdb1e824b,"{'Hearty & Seasonal', 'Pick and Mix Bowls', 'Coffee', 'Smoothies'}",1477830240,afternoon,weekend
022b07b9-0a1e-4c00-ad26-ded648e9d05a,"{'Coffee', 'Cake'}",1477830840,afternoon,weekend
15d11e43-4907-428f-a900-1fabb41f9447,"{'Mighty Protein', 'Tartine', 'Coffee', 'Tea'}",1477831020,afternoon,weekend
196c67e6-d11b-4bdc-84de-455477039729,"{'Hearty & Seasonal', 'Frittata', 'Mineral water'}",1477831200,afternoon,weekend
e51e7fc2-aa98-4765-81f3-0dd526220437,"{'Hearty & Seasonal', 'Muffin', 'Mineral water'}",1477831560,afternoon,weekend
c0a3c781-29ce-44e8-a050-98005123accc,"{'Frittata', 'Chicken sand', 'Tea', 'Scandinavian', 'Coffee'}",1477831740,afternoon,weekend
3a400ba6-6a38-4fd5-8ee7-3cb713b2e7a2,"{'Bread', 'Victorian Sponge', 'Tea'}",1477831860,afternoon,weekend
d431fa3d-ff95-4ad2-a2d5-2f132fe1ed1b,{'Fudge'},1477832040,afternoon,weekend
eac94802-57df-4878-8652-90591f81d73e,{'Muffin'},1477832160,afternoon,weekend
59709cef-08ab-4eee-940f-01ed7d544a08,"{'Bread', 'Coffee'}",1477833720,afternoon,weekend
73b2c0bd-af53-4182-9d57-e59b594503c3,"{'Bread', 'Coffee'}",1477833840,afternoon,weekend
709c1fdb-60c0-47f3-a4f1-87e32ebdebee,"{'Jam', 'Coffee', 'Frittata'}",1477834320,afternoon,weekend
18654aa1-5944-4cf9-b3fc-6e0ff75cb9a5,{'Scandinavian'},1477834500,afternoon,weekend
5a658623-897e-4bee-b3c4-b3d11b6e4b7b,{'Fudge'},1477834920,afternoon,weekend
9fda9e05-328e-4b7c-a300-ad9f51f36692,"{'Muffin', 'Coffee', 'Tea', 'Fudge'}",1477835100,afternoon,weekend
2e8538a1-711a-4300-9b4d-b4f5daedc433,"{'Bread', 'Coffee', 'Frittata'}",1477835280,afternoon,weekend
f2e5015b-1cd2-4117-b4a6-a029fb88b08d,"{'Coffee', 'Cake'}",1477898880,morning,weekday
f1b7ceff-13ed-40fb-ad8b-b2b47663d019,"{'Bread', 'Tartine'}",1477900020,morning,weekday
c46a5e8b-2ea7-4111-bbe3-bab729a9218e,"{'Bread', 'Coffee'}",1477900620,morning,weekday
fed52a87-2794-4f89-a60e-e0da3829b610,{'Bread'},1477901040,morning,weekday
59ed3877-171e-470e-a57e-1e1e412eab49,"{'Pastry', 'Medialuna', 'Bread', 'Coffee', 'Juice'}",1477901520,morning,weekday
7d493d3b-440a-44a8-a319-245a8a6b27a2,"{'Jam', 'Coffee'}",1477901760,morning,weekday
739e6054-7b04-4242-b32d-770bbd3cf8b1,"{'Bread', 'Coffee'}",1477902000,morning,weekday
e74720c6-59da-40c7-aa1e-cce0895276c1,{'Tea'},1477902120,morning,weekday
e04ec6d3-d3a7-4e3e-8b4a-59e2ad013738,{'Coffee'},1477902420,morning,weekday
f4aced0d-9d87-40cf-8d48-76ccfbbba68a,"{'Bread', 'Coke'}",1477902540,morning,weekday
ea952aec-b346-41c9-bdaa-ad89a987bb94,{'Coffee'},1477903140,morning,weekday
